NO,TC No.,Check Object 1,Check Object 2,Check content,Pre-condition,Test Data,Steps,Expected Result,Test IT Result,Executed Date,SQA,Core IT,Detail IT,Evidence,Test UT Result,Status fix bug,Executed Date DEV,DEV,Note
,REZIL_MINSP005_TC_252,Field Validation,Extra_Field_46,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_253,Field Validation,Extra_Field_47,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_254,Field Validation,Extra_Field_47,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_255,Field Validation,Extra_Field_47,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_256,Field Validation,Extra_Field_47,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_257,Field Validation,Extra_Field_47,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_258,Field Validation,Extra_Field_48,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_259,Field Validation,Extra_Field_48,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_260,Field Validation,Extra_Field_48,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_261,Field Validation,Extra_Field_48,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_262,Field Validation,Extra_Field_48,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_263,Field Validation,Extra_Field_49,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_264,Field Validation,Extra_Field_49,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_265,Field Validation,Extra_Field_49,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_266,Field Validation,Extra_Field_49,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_267,Field Validation,Extra_Field_49,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_268,Field Validation,Extra_Field_50,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_269,Field Validation,Extra_Field_50,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_270,Field Validation,Extra_Field_50,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_271,Field Validation,Extra_Field_50,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_272,Field Validation,Extra_Field_50,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_273,Field Validation,Extra_Field_51,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_274,Field Validation,Extra_Field_51,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_275,Field Validation,Extra_Field_51,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_276,Field Validation,Extra_Field_51,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_277,Field Validation,Extra_Field_51,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_278,Field Validation,Extra_Field_52,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_279,Field Validation,Extra_Field_52,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_280,Field Validation,Extra_Field_52,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_281,Field Validation,Extra_Field_52,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_282,Field Validation,Extra_Field_52,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_283,Field Validation,Extra_Field_53,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_284,Field Validation,Extra_Field_53,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_285,Field Validation,Extra_Field_53,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_286,Field Validation,Extra_Field_53,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_287,Field Validation,Extra_Field_53,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_288,Field Validation,Extra_Field_54,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_289,Field Validation,Extra_Field_54,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_290,Field Validation,Extra_Field_54,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_291,Field Validation,Extra_Field_54,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_292,Field Validation,Extra_Field_54,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_293,Field Validation,Extra_Field_55,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_294,Field Validation,Extra_Field_55,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_295,Field Validation,Extra_Field_55,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_296,Field Validation,Extra_Field_55,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_297,Field Validation,Extra_Field_55,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_298,Field Validation,Extra_Field_56,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_299,Field Validation,Extra_Field_56,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_300,Field Validation,Extra_Field_56,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_301,Field Validation,Extra_Field_56,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_302,Field Validation,Extra_Field_56,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_303,Field Validation,Extra_Field_57,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_304,Field Validation,Extra_Field_57,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_305,Field Validation,Extra_Field_57,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_306,Field Validation,Extra_Field_57,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_307,Field Validation,Extra_Field_57,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_308,Field Validation,Extra_Field_58,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_309,Field Validation,Extra_Field_58,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_310,Field Validation,Extra_Field_58,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_311,Field Validation,Extra_Field_58,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_312,Field Validation,Extra_Field_58,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_313,Field Validation,Extra_Field_59,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_314,Field Validation,Extra_Field_59,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_315,Field Validation,Extra_Field_59,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_316,Field Validation,Extra_Field_59,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_317,Field Validation,Extra_Field_59,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
